id,name,menuId,status,type,deletedAt,createdAt,updatedAt,parentId,blackList,whiteList,assignTo,icon,connectTo,customer,policy,rfq,store,categoryType,aliases
55,Laptops,,ACTIVE,,,2026-04-01 23:27:23.486,2026-04-01 23:27:23.486,54,NO,NO,,,,,,,,,"{""ar"": [""لابتوب"", ""حاسوب محمول""], ""fr"": [""ordinateur portable""], ""zh"": [""笔记本电脑""]}"
56,Gaming Laptops,,ACTIVE,,,2026-04-01 23:27:23.49,2026-04-01 23:27:23.49,55,NO,NO,,,,,,,,,"{""ar"": [""لابتوب"", ""حاسوب محمول""], ""fr"": [""ordinateur portable""], ""zh"": [""笔记本电脑""]}"
59,Business Laptops,,ACTIVE,,,2026-04-01 23:27:23.502,2026-04-01 23:27:23.502,55,NO,NO,,,,,,,,,"{""ar"": [""لابتوب"", ""حاسوب محمول""], ""fr"": [""ordinateur portable""], ""zh"": [""笔记本电脑""]}"
47,Tablets,,ACTIVE,,,2026-04-01 23:27:23.458,2026-04-01 23:27:23.458,4,NO,NO,,,,,,,,,"{""ar"": [""تابلت""], ""zh"": [""平板电脑""]}"
48,Android Tablets,,ACTIVE,,,2026-04-01 23:27:23.462,2026-04-01 23:27:23.462,47,NO,NO,,,,,,,,,"{""ar"": [""تابلت""], ""zh"": [""平板电脑""]}"
24,Silicone Cases,,ACTIVE,,,2026-04-01 23:27:23.373,2026-04-01 23:27:23.373,23,NO,NO,,,,,,,,,"{""ar"": [""أكفر""]}"
25,Clear Cases,,ACTIVE,,,2026-04-01 23:27:23.377,2026-04-01 23:27:23.377,24,NO,NO,,,,,,,,,"{""ar"": [""أكفر""]}"
26,Screen Protectors,,ACTIVE,,,2026-04-01 23:27:23.38,2026-04-01 23:27:23.38,22,NO,NO,,,,,,,,,"{""ar"": [""شاشة واقيات"", ""شاشة"", ""واقيات""]}"
27,Tempered Glass,,ACTIVE,,,2026-04-01 23:27:23.383,2026-04-01 23:27:23.383,26,NO,NO,,,,,,,,,"{""ar"": [""مقوى زجاج"", ""مقوى"", ""زجاج""]}"
28,Privacy Screen,,ACTIVE,,,2026-04-01 23:27:23.386,2026-04-01 23:27:23.386,27,NO,NO,,,,,,,,,"{""ar"": [""شاشة""]}"
29,Chargers & Cables,,ACTIVE,,,2026-04-01 23:27:23.389,2026-04-01 23:27:23.389,22,NO,NO,,,,,,,,,"{""ar"": [""شواحن كابلات"", ""شواحن"", ""كابلات""]}"
30,Fast Chargers,,ACTIVE,,,2026-04-01 23:27:23.392,2026-04-01 23:27:23.392,29,NO,NO,,,,,,,,,"{""ar"": [""شواحن""]}"
31,USB-C Chargers,,ACTIVE,,,2026-04-01 23:27:23.395,2026-04-01 23:27:23.395,30,NO,NO,,,,,,,,,"{""ar"": [""يو اس بي شواحن"", ""يو اس بي"", ""شواحن""]}"
32,Wireless Chargers,,ACTIVE,,,2026-04-01 23:27:23.398,2026-04-01 23:27:23.398,29,NO,NO,,,,,,,,,"{""ar"": [""لاسلكي شواحن"", ""لاسلكي"", ""شواحن""]}"
34,Power Banks,,ACTIVE,,,2026-04-01 23:27:23.404,2026-04-01 23:27:23.404,22,NO,NO,,,,,,,,,"{""ar"": [""طاقة""]}"
36,Slim Power Banks,,ACTIVE,,,2026-04-01 23:27:23.416,2026-04-01 23:27:23.416,35,NO,NO,,,,,,,,,"{""ar"": [""طاقة""]}"
38,Car Mounts,,ACTIVE,,,2026-04-01 23:27:23.424,2026-04-01 23:27:23.424,37,NO,NO,,,,,,,,,"{""ar"": [""سيارة""]}"
40,Phone Parts,,ACTIVE,,,2026-04-01 23:27:23.432,2026-04-01 23:27:23.432,4,NO,NO,,,,,,,,,"{""ar"": [""هاتف قطع غيار"", ""هاتف"", ""قطع غيار""]}"
44,Batteries,,ACTIVE,,,2026-04-01 23:27:23.447,2026-04-01 23:27:23.447,40,NO,NO,,,,,,,,,"{""ar"": [""بطاريات""]}"
45,Replacement Batteries,,ACTIVE,,,2026-04-01 23:27:23.45,2026-04-01 23:27:23.45,44,NO,NO,,,,,,,,,"{""ar"": [""بطاريات""]}"
46,OEM Batteries,,ACTIVE,,,2026-04-01 23:27:23.454,2026-04-01 23:27:23.454,45,NO,NO,,,,,,,,,"{""ar"": [""بطاريات""]}"
49,Samsung Galaxy Tab,,ACTIVE,,,2026-04-01 23:27:23.465,2026-04-01 23:27:23.465,48,NO,NO,,,,,,,,,"{""ar"": [""سامسونج""]}"
50,Tablet Cases,,ACTIVE,,,2026-04-01 23:27:23.469,2026-04-01 23:27:23.469,49,NO,NO,,,,,,,,,"{""ar"": [""تابلت أكفر"", ""تابلت"", ""أكفر""]}"
53,Apple Pencil,,ACTIVE,,,2026-04-01 23:27:23.479,2026-04-01 23:27:23.479,52,NO,NO,,,,,,,,,"{""ar"": [""ابل""]}"
58,15-inch,,ACTIVE,,,2026-04-01 23:27:23.497,2026-04-01 23:27:23.497,57,NO,NO,,,,,,,,,"{""ar"": [""15""]}"
61,14-inch,,ACTIVE,,,2026-04-01 23:27:23.511,2026-04-01 23:27:23.511,60,NO,NO,,,,,,,,,"{""ar"": [""14""]}"
64,M-Series Chip,,ACTIVE,,,2026-04-01 23:27:23.523,2026-04-01 23:27:23.523,63,NO,NO,,,,,,,,,"{""ar"": [""سلسلة""]}"
66,Gaming Desktops,,ACTIVE,,,2026-04-01 23:27:23.53,2026-04-01 23:27:23.53,65,NO,NO,,,,,,,,,"{""ar"": [""ألعاب""]}"
68,Tower Cases,,ACTIVE,,,2026-04-01 23:27:23.537,2026-04-01 23:27:23.537,67,NO,NO,,,,,,,,,"{""ar"": [""أكفر""]}"
71,24-inch,,ACTIVE,,,2026-04-01 23:27:23.548,2026-04-01 23:27:23.548,70,NO,NO,,,,,,,,,"{""ar"": [""24""]}"
73,Mac Mini,,ACTIVE,,,2026-04-01 23:27:23.555,2026-04-01 23:27:23.555,72,NO,NO,,,,,,,,,"{""ar"": [""صغير""]}"
74,M-Series,,ACTIVE,,,2026-04-01 23:27:23.558,2026-04-01 23:27:23.558,73,NO,NO,,,,,,,,,"{""ar"": [""سلسلة""]}"
81,RTX 4000 Series,,ACTIVE,,,2026-04-01 23:27:23.574,2026-04-01 23:27:23.574,80,NO,NO,,,,,,,,,"{""ar"": [""4000 سلسلة"", ""4000"", ""سلسلة""]}"
85,Storage,,ACTIVE,,,2026-04-01 23:27:23.584,2026-04-01 23:27:23.584,75,NO,NO,,,,,,,,,"{""ar"": [""تخزين""]}"
35,10000mAh,,ACTIVE,,,2026-04-01 23:27:23.408,2026-04-01 23:27:23.408,34,NO,NO,,,,,,,,,"{""ar"": [""10000mah""]}"
52,iPad Air,,ACTIVE,,,2026-04-01 23:27:23.476,2026-04-01 23:27:23.476,51,NO,NO,,,,,,,,,"{""ar"": [""هواء""]}"
67,Custom Built,,ACTIVE,,,2026-04-01 23:27:23.533,2026-04-01 23:27:23.533,66,NO,NO,,,,,,,,,"{""ar"": [""مخصص""]}"
84,32GB Kits,,ACTIVE,,,2026-04-01 23:27:23.581,2026-04-01 23:27:23.581,83,NO,NO,,,,,,,,,"{""ar"": [""32gb""]}"
1,Product Menu,,ACTIVE,,,2026-04-01 23:27:23.29,2026-04-01 23:27:23.29,,NO,NO,,,,,,,,,"{""en"": [""product menu""]}"
2886,Business Types,,ACTIVE,,,2026-04-02 06:05:46.461,2026-04-02 06:05:46.461,,NO,NO,,,,,,,,,"{""en"": [""business types""]}"
33,MagSafe,,ACTIVE,,,2026-04-01 23:27:23.401,2026-04-01 23:27:23.401,32,NO,NO,,,,,,,,,"{""en"": [""magsafe""]}"
39,Magnetic Mounts,,ACTIVE,,,2026-04-01 23:27:23.428,2026-04-01 23:27:23.428,38,NO,NO,,,,,,,,,"{""en"": [""magnetic mounts""]}"
41,Screens & Displays,,ACTIVE,,,2026-04-01 23:27:23.436,2026-04-01 23:27:23.436,40,NO,NO,,,,,,,,,"{""en"": [""screens & displays""]}"
43,OEM Screens,,ACTIVE,,,2026-04-01 23:27:23.443,2026-04-01 23:27:23.443,42,NO,NO,,,,,,,,,"{""en"": [""oem screens""]}"
51,iPads,,ACTIVE,,,2026-04-01 23:27:23.472,2026-04-01 23:27:23.472,47,NO,NO,,,,,,,,,"{""en"": [""ipads""]}"
57,ASUS ROG,,ACTIVE,,,2026-04-01 23:27:23.494,2026-04-01 23:27:23.494,56,NO,NO,,,,,,,,,"{""en"": [""asus rog""]}"
60,ThinkPad,,ACTIVE,,,2026-04-01 23:27:23.506,2026-04-01 23:27:23.506,59,NO,NO,,,,,,,,,"{""en"": [""thinkpad""]}"
62,Ultrabooks,,ACTIVE,,,2026-04-01 23:27:23.515,2026-04-01 23:27:23.515,55,NO,NO,,,,,,,,,"{""en"": [""ultrabooks""]}"
69,All-in-One,,ACTIVE,,,2026-04-01 23:27:23.541,2026-04-01 23:27:23.541,65,NO,NO,,,,,,,,,"{""en"": [""all-in-one""]}"
70,iMac,,ACTIVE,,,2026-04-01 23:27:23.544,2026-04-01 23:27:23.544,69,NO,NO,,,,,,,,,"{""en"": [""imac""]}"
77,Intel,,ACTIVE,,,2026-04-01 23:27:23.566,2026-04-01 23:27:23.566,76,NO,NO,,,,,,,,,"{""en"": [""intel""]}"
78,Core i7,,ACTIVE,,,2026-04-01 23:27:23.568,2026-04-01 23:27:23.568,77,NO,NO,,,,,,,,,"{""en"": [""core i7""]}"
80,NVIDIA,,ACTIVE,,,2026-04-01 23:27:23.572,2026-04-01 23:27:23.572,79,NO,NO,,,,,,,,,"{""en"": [""nvidia""]}"
83,DDR5,,ACTIVE,,,2026-04-01 23:27:23.579,2026-04-01 23:27:23.579,82,NO,NO,,,,,,,,,"{""en"": [""ddr5""]}"
86,SSDs,,ACTIVE,,,2026-04-01 23:27:23.586,2026-04-01 23:27:23.586,85,NO,NO,,,,,,,,,"{""en"": [""ssds""]}"
87,NVMe M.2,,ACTIVE,,,2026-04-01 23:27:23.588,2026-04-01 23:27:23.588,86,NO,NO,,,,,,,,,"{""en"": [""nvme m.2""]}"
128,Televisions,,ACTIVE,,,2026-04-01 23:27:23.691,2026-04-01 23:27:23.691,127,NO,NO,,,,,,,,,"{""ar"": [""تلفزيون"", ""شاشة""], ""zh"": [""电视""]}"
121,Office & Productivity,,ACTIVE,,,2026-04-01 23:27:23.668,2026-04-01 23:27:23.668,117,NO,NO,,,,,,,,,"{""ar"": [""مكتب""], ""zh"": [""办公用品""]}"
91,Power Supplies,,ACTIVE,,,2026-04-01 23:27:23.597,2026-04-01 23:27:23.597,75,NO,NO,,,,,,,,,"{""ar"": [""طاقة""]}"
96,Gaming Monitors,,ACTIVE,,,2026-04-01 23:27:23.608,2026-04-01 23:27:23.608,95,NO,NO,,,,,,,,,"{""ar"": [""ألعاب""]}"
98,Keyboards,,ACTIVE,,,2026-04-01 23:27:23.613,2026-04-01 23:27:23.613,94,NO,NO,,,,,,,,,"{""ar"": [""لوحات مفاتيح""]}"
99,Mechanical Keyboards,,ACTIVE,,,2026-04-01 23:27:23.615,2026-04-01 23:27:23.615,98,NO,NO,,,,,,,,,"{""ar"": [""لوحات مفاتيح""]}"
102,Gaming Mice,,ACTIVE,,,2026-04-01 23:27:23.623,2026-04-01 23:27:23.623,101,NO,NO,,,,,,,,,"{""ar"": [""ألعاب""]}"
114,Network Attached Storage (NAS),,ACTIVE,,,2026-04-01 23:27:23.652,2026-04-01 23:27:23.652,107,NO,NO,,,,,,,,,"{""ar"": [""تخزين""]}"
